height_cm,weight_kg,bmi,shoulder_width_ratio,hip_width_ratio,torso_length_ratio,leg_length_ratio,arm_length_ratio,shoulder_hip_ratio,torso_leg_ratio,back_length_ratio,belly_width_ratio,neck_width_ratio,upper_arm_ratio,thigh_ratio,inseam_ratio,arm_span_ratio,chest,waist,hip,shoulder_width_cm,back_length,inseam,thigh_circumference,neck_circumference,arm_circumference,gender_male
173.5,84.1,27.9164,0.256,0.193,0.2905,0.4646,0.3458,1.326,0.6252,0.273,0.1757,0.074,0.1902,0.2555,0.4415,0.9475,100.8,84.1,105.2,44.4,47.4,76.6,58.8,40.3,34.4,1.0
174.1,62.6,20.6583,0.2554,0.1748,0.2895,0.4626,0.3501,1.4608,0.6258,0.2708,0.1608,0.0664,0.1926,0.2544,0.4418,0.9557,89.1,78.0,95.6,44.5,47.1,76.9,52.9,36.3,30.7,1.0
166.0,67.9,24.6387,0.2404,0.1985,0.2823,0.4658,0.3387,1.2115,0.6061,0.2596,0.162,0.0682,0.1863,0.2562,0.4368,0.9179,91.7,76.2,103.5,39.9,43.1,72.5,56.7,35.5,28.5,0.0
164.0,61.3,22.7933,0.2521,0.1769,0.2921,0.4618,0.3533,1.4247,0.6325,0.2746,0.1533,0.0693,0.1943,0.254,0.4452,0.9587,91.5,77.4,91.1,41.3,45.0,73.0,52.0,35.7,29.1,1.0
173.8,57.3,18.9634,0.2538,0.1655,0.2893,0.4672,0.3507,1.5335,0.6193,0.2718,0.1484,0.0639,0.1929,0.2569,0.4439,0.9551,88.4,74.9,90.3,44.1,47.2,77.2,50.4,34.9,29.5,1.0
160.9,62.5,24.1515,0.2542,0.1809,0.2948,0.4598,0.355,1.4051,0.6413,0.2713,0.1609,0.0719,0.1953,0.2529,0.445,0.9643,90.4,77.8,91.4,40.9,43.7,71.6,51.0,36.3,30.0,1.0
158.9,59.5,23.5931,0.2388,0.1905,0.2784,0.46,0.3395,1.2538,0.6052,0.2586,0.1637,0.0661,0.1867,0.253,0.4414,0.9179,89.8,70.1,95.0,37.9,41.1,70.1,53.8,32.9,27.3,0.0
161.1,51.1,19.7027,0.2367,0.1798,0.2798,0.4636,0.3311,1.3164,0.6036,0.267,0.145,0.0629,0.1821,0.255,0.4347,0.8989,82.7,67.6,90.9,38.1,43.0,70.0,50.5,31.8,25.2,0.0
170.9,68.8,23.5575,0.2522,0.1778,0.2903,0.4684,0.3529,1.4184,0.6199,0.2757,0.1597,0.0693,0.1941,0.2576,0.4348,0.958,92.1,81.5,95.4,43.1,47.1,74.3,52.6,37.2,31.2,1.0
184.4,90.7,26.6643,0.258,0.1883,0.2919,0.4679,0.3448,1.3705,0.6238,0.2714,0.1665,0.074,0.1896,0.2573,0.4404,0.9476,104.8,92.6,109.0,47.6,50.1,81.2,60.7,42.9,35.2,1.0
163.8,78.0,29.0965,0.2445,0.2089,0.2825,0.4653,0.3376,1.1701,0.607,0.2664,0.1673,0.071,0.1857,0.2559,0.4321,0.9197,97.8,79.1,107.4,40.0,43.6,70.8,60.2,36.5,30.7,0.0
143.6,38.8,18.7895,0.2353,0.178,0.2797,0.4509,0.3328,1.3222,0.6203,0.2633,0.1478,0.0623,0.183,0.248,0.4384,0.9009,73.2,57.4,80.2,33.8,37.8,63.0,44.8,28.1,22.1,0.0
172.3,71.9,24.2111,0.2499,0.182,0.29,0.4583,0.3459,1.3735,0.6329,0.2695,0.1621,0.0705,0.1903,0.252,0.4405,0.9418,97.0,80.5,98.5,43.1,46.4,75.9,54.7,38.1,32.6,1.0
172.7,76.1,25.5222,0.2582,0.1853,0.2877,0.4609,0.346,1.3934,0.6243,0.2728,0.1706,0.0715,0.1903,0.2535,0.4423,0.9503,98.6,86.2,100.5,44.6,47.1,76.4,56.7,38.8,32.6,1.0
172.4,74.4,25.0521,0.2596,0.1816,0.2909,0.4699,0.3522,1.4296,0.6192,0.2738,0.1627,0.0712,0.1937,0.2584,0.4455,0.9639,98.9,83.6,98.3,44.7,47.2,76.8,56.6,38.6,32.3,1.0
164.8,53.0,19.5415,0.2307,0.182,0.2811,0.4561,0.3366,1.2678,0.6164,0.2633,0.1479,0.0622,0.1851,0.2508,0.4381,0.9039,87.8,68.8,94.2,38.0,43.4,72.2,51.5,32.2,26.5,0.0
179.5,82.1,25.4565,0.2598,0.1847,0.2912,0.4639,0.3522,1.4062,0.6278,0.2769,0.1641,0.0714,0.1937,0.2551,0.4386,0.9642,101.1,88.7,104.1,46.6,49.7,78.7,58.4,40.3,33.5,1.0
184.1,59.6,17.5682,0.2481,0.1628,0.2897,0.4621,0.3469,1.5237,0.627,0.2755,0.1427,0.0629,0.1908,0.2541,0.4408,0.9419,90.7,76.4,94.1,45.7,50.7,81.2,53.6,36.4,30.9,1.0
187.8,82.8,23.4858,0.2565,0.1804,0.292,0.4704,0.3515,1.4218,0.6208,0.2741,0.1653,0.0701,0.1933,0.2587,0.4355,0.9595,104.2,85.8,106.4,48.2,51.5,81.8,58.5,41.3,34.7,1.0
162.4,80.4,30.4773,0.2614,0.1966,0.2936,0.475,0.3444,1.3292,0.6181,0.2731,0.1792,0.0759,0.1894,0.2613,0.4373,0.9502,96.6,85.3,100.3,42.4,44.3,71.0,55.8,38.7,32.8,1.0
171.7,68.1,23.105,0.239,0.1941,0.2833,0.4639,0.3388,1.2313,0.6109,0.2661,0.154,0.0664,0.1863,0.2551,0.4416,0.9167,94.4,75.3,104.7,41.0,45.7,75.8,57.6,35.8,29.3,0.0
159.9,64.1,25.0954,0.2409,0.1969,0.2804,0.4653,0.335,1.2232,0.6027,0.2641,0.1687,0.0679,0.1843,0.2559,0.4394,0.911,91.5,72.6,98.8,38.5,42.2,70.2,54.9,34.1,28.2,0.0
164.7,43.4,16.0,0.2313,0.1727,0.2822,0.4692,0.3365,1.3387,0.6015,0.2648,0.134,0.0584,0.1851,0.2581,0.433,0.9043,79.1,64.0,89.3,38.1,43.6,71.3,48.0,30.2,24.7,0.0
161.4,43.8,16.8304,0.2466,0.1598,0.287,0.4577,0.3571,1.5429,0.6272,0.2705,0.1415,0.0622,0.1964,0.2517,0.4381,0.9607,79.8,66.2,81.0,39.8,43.7,70.7,44.7,31.5,25.6,1.0
172.0,53.9,18.2188,0.2452,0.1656,0.2883,0.4674,0.3455,1.4805,0.6168,0.2726,0.1463,0.0625,0.1901,0.2571,0.4458,0.9363,87.8,73.6,89.5,42.2,46.9,76.7,49.4,33.7,29.0,1.0
179.9,67.7,20.9233,0.2491,0.1702,0.2992,0.4665,0.3517,1.4637,0.6413,0.27,0.1493,0.0668,0.1934,0.2566,0.4385,0.9524,94.1,80.4,96.1,44.8,48.6,78.9,54.6,37.7,31.9,1.0
167.4,49.4,17.6357,0.2477,0.1628,0.293,0.4656,0.3489,1.522,0.6293,0.2728,0.1443,0.0628,0.1919,0.2561,0.4401,0.9456,83.6,71.4,85.5,41.5,45.7,73.7,48.0,33.0,26.8,1.0
156.4,72.3,29.548,0.2604,0.194,0.2907,0.4689,0.3528,1.3419,0.6198,0.2731,0.1754,0.0751,0.1941,0.2579,0.4481,0.9661,92.5,78.7,95.3,40.7,42.7,70.1,54.6,36.9,31.5,1.0
157.6,82.0,33.0096,0.2447,0.2206,0.2776,0.4682,0.3385,1.1093,0.5929,0.2574,0.1774,0.0753,0.1862,0.2575,0.4373,0.9217,100.2,81.6,109.2,38.6,40.6,68.9,60.3,37.3,31.2,0.0
164.1,65.7,24.3888,0.2417,0.1979,0.2806,0.461,0.3345,1.2214,0.6087,0.2661,0.1593,0.0673,0.184,0.2535,0.4419,0.9106,94.3,73.2,102.0,39.7,43.7,72.5,54.7,34.7,28.8,0.0
187.6,74.8,21.2484,0.2583,0.1719,0.2888,0.4668,0.3464,1.5022,0.6187,0.2723,0.1505,0.0677,0.1905,0.2568,0.4419,0.951,100.6,84.0,101.3,48.4,51.1,82.9,57.9,39.9,32.7,1.0
155.1,52.1,21.6522,0.2309,0.19,0.2792,0.4619,0.335,1.2157,0.6046,0.2567,0.1562,0.0647,0.1843,0.254,0.4387,0.901,83.2,65.4,92.5,35.8,39.8,68.0,49.8,31.5,26.2,0.0
179.1,71.7,22.3509,0.2548,0.1765,0.294,0.4697,0.3502,1.4435,0.6258,0.2728,0.157,0.0687,0.1926,0.2584,0.4395,0.9552,98.0,82.2,99.2,45.6,48.8,78.7,54.3,38.6,32.3,1.0
155.1,52.1,21.6569,0.2351,0.1894,0.2826,0.4707,0.3348,1.2413,0.6004,0.2655,0.1575,0.0643,0.1842,0.2589,0.4438,0.9047,83.5,65.7,92.2,36.4,41.2,68.8,50.3,31.3,25.7,0.0
164.4,55.6,20.5902,0.2464,0.1719,0.2937,0.4629,0.3457,1.4334,0.6345,0.2719,0.1512,0.0673,0.1901,0.2546,0.4425,0.9378,86.5,74.5,88.7,40.5,44.7,72.7,48.9,34.7,28.9,1.0
165.1,74.1,27.1799,0.2611,0.1858,0.2957,0.4643,0.3441,1.4049,0.6368,0.2742,0.1698,0.0735,0.1892,0.2554,0.4387,0.9492,95.4,82.3,96.3,43.1,45.3,72.4,55.1,38.1,31.6,1.0
175.7,82.9,26.8474,0.258,0.1899,0.2924,0.4577,0.3526,1.3587,0.639,0.2714,0.1735,0.0731,0.1939,0.2517,0.4372,0.9632,99.7,85.4,104.8,45.3,47.7,76.8,58.2,40.4,34.0,1.0
176.0,70.4,22.7476,0.2529,0.1777,0.2861,0.4652,0.3526,1.4232,0.6151,0.2762,0.1633,0.0683,0.1939,0.2558,0.4433,0.958,95.1,83.0,98.2,44.5,48.6,78.0,55.3,37.7,32.1,1.0
176.9,61.6,19.693,0.2469,0.1689,0.2923,0.464,0.3487,1.462,0.6301,0.2719,0.1528,0.0645,0.1918,0.2552,0.4405,0.9442,90.7,78.5,93.8,43.7,48.1,77.9,51.9,35.8,30.3,1.0
158.2,46.6,18.6104,0.2339,0.175,0.2783,0.4603,0.337,1.3366,0.6047,0.2647,0.1428,0.0609,0.1853,0.2532,0.4354,0.9078,80.6,62.8,86.9,37.0,41.9,68.9,48.7,30.3,26.0,0.0
164.5,62.5,23.1096,0.234,0.1953,0.2829,0.4638,0.3383,1.1979,0.6099,0.2629,0.1582,0.0662,0.186,0.2551,0.4381,0.9105,91.5,71.8,100.9,38.5,43.2,72.1,56.5,34.2,28.1,0.0
171.5,66.4,22.5673,0.2552,0.1782,0.2909,0.4678,0.3514,1.4324,0.6219,0.2717,0.1582,0.0689,0.1933,0.2573,0.438,0.958,93.7,78.7,95.9,43.8,46.6,75.1,53.2,37.1,31.4,1.0
183.4,96.2,28.5832,0.2559,0.1928,0.2881,0.4572,0.3484,1.3273,0.6302,0.2702,0.1685,0.0743,0.1916,0.2514,0.444,0.9527,106.3,95.3,111.0,46.9,49.6,81.4,63.2,42.8,35.5,1.0
170.9,68.3,23.3863,0.2351,0.1946,0.2812,0.4663,0.3378,1.2079,0.6032,0.2631,0.1569,0.0668,0.1858,0.2564,0.4365,0.9107,95.2,76.0,104.4,40.2,45.0,74.6,58.4,35.8,28.6,0.0
162.6,58.5,22.1423,0.2547,0.1754,0.293,0.4718,0.3486,1.4522,0.6211,0.2742,0.1525,0.0686,0.1917,0.2595,0.4398,0.9519,89.5,74.9,89.6,41.4,44.6,71.5,50.3,35.0,29.0,1.0
159.5,76.9,30.2505,0.2427,0.2108,0.2815,0.4668,0.3368,1.1516,0.603,0.2607,0.1756,0.0726,0.1852,0.2568,0.4342,0.9163,96.9,76.8,105.5,38.7,41.6,69.2,58.2,36.3,29.8,0.0
159.7,50.3,19.7019,0.2336,0.1804,0.2769,0.4595,0.3354,1.2951,0.6026,0.2612,0.1486,0.062,0.1844,0.2527,0.4339,0.9044,84.9,66.2,90.5,37.3,41.7,69.3,50.2,31.1,26.3,0.0
155.8,55.9,23.0534,0.2361,0.1934,0.2813,0.4626,0.3378,1.2204,0.6081,0.258,0.1586,0.0658,0.1858,0.2544,0.4413,0.9117,85.9,67.8,94.6,36.8,40.2,68.7,52.2,32.2,26.6,0.0
171.6,73.9,25.083,0.2575,0.1835,0.2922,0.4578,0.3499,1.4029,0.6384,0.2712,0.1632,0.0723,0.1925,0.2518,0.4462,0.9574,97.6,82.4,98.9,44.2,46.5,76.6,56.0,38.9,32.0,1.0
169.8,46.1,16.0,0.2447,0.1553,0.2919,0.4661,0.3547,1.5754,0.6264,0.2698,0.1408,0.0609,0.1951,0.2563,0.4392,0.954,84.2,68.3,82.8,41.5,45.8,74.6,46.8,32.5,26.8,1.0
174.7,63.6,20.864,0.2505,0.1727,0.2939,0.4625,0.3505,1.4506,0.6355,0.272,0.1526,0.067,0.1927,0.2544,0.4486,0.9514,94.2,78.6,94.7,43.7,47.5,78.4,52.8,36.7,30.4,1.0
171.5,80.1,27.2372,0.2614,0.1882,0.2917,0.4669,0.3472,1.3893,0.6248,0.281,0.1657,0.073,0.1909,0.2568,0.4394,0.9558,99.3,86.3,101.3,44.8,48.2,75.3,56.8,39.3,33.3,1.0
180.9,72.0,21.9885,0.2525,0.1717,0.2885,0.4565,0.3456,1.4706,0.632,0.2746,0.1575,0.068,0.1901,0.2511,0.4453,0.9437,96.5,84.9,97.5,45.7,49.7,80.6,57.1,38.6,31.8,1.0
166.8,84.7,30.4494,0.2608,0.1968,0.2974,0.4594,0.3505,1.325,0.6473,0.2735,0.1777,0.0759,0.1928,0.2526,0.4409,0.9619,98.7,85.5,103.1,43.5,45.6,73.5,58.2,39.7,34.6,1.0
165.4,71.2,26.0403,0.2383,0.2,0.28,0.459,0.3353,1.1915,0.6099,0.2578,0.1631,0.0694,0.1844,0.2525,0.4397,0.9089,94.1,74.6,103.8,39.4,42.6,72.7,58.0,36.0,29.2,0.0
169.6,72.6,25.2431,0.2556,0.184,0.2943,0.4638,0.3474,1.3892,0.6345,0.2725,0.1626,0.0715,0.1911,0.2551,0.4433,0.9505,95.2,82.2,98.0,43.3,46.2,75.2,56.1,38.0,31.6,1.0
189.5,95.1,26.4966,0.264,0.1878,0.2948,0.4664,0.3532,1.406,0.6322,0.2721,0.1681,0.0722,0.1943,0.2565,0.448,0.9704,110.3,93.2,111.7,50.0,51.5,84.9,62.2,42.9,35.9,1.0
165.5,67.9,24.7937,0.2574,0.1807,0.2864,0.463,0.3516,1.4244,0.6186,0.2767,0.1647,0.071,0.1934,0.2547,0.4483,0.9605,93.2,83.1,93.9,42.6,45.8,74.2,52.9,36.9,31.0,1.0
174.8,84.5,27.6674,0.259,0.1916,0.2893,0.4682,0.3463,1.3514,0.6178,0.276,0.1765,0.0744,0.1905,0.2575,0.445,0.9516,101.3,90.1,105.2,45.3,48.2,77.8,58.2,40.8,33.8,1.0
165.0,72.3,26.538,0.2577,0.1911,0.2895,0.4608,0.3515,1.3485,0.6283,0.2672,0.1697,0.073,0.1933,0.2534,0.4465,0.9608,92.1,82.0,99.0,42.5,44.1,73.7,55.2,37.8,32.1,1.0
180.8,91.4,27.9705,0.2603,0.1925,0.2906,0.4635,0.3432,1.3519,0.627,0.2732,0.1734,0.0747,0.1888,0.2549,0.441,0.9468,105.6,91.7,109.3,47.1,49.4,79.7,60.2,42.4,35.3,1.0
158.4,86.7,34.5501,0.2466,0.2257,0.2791,0.46,0.3372,1.0926,0.6068,0.2625,0.1877,0.0769,0.1855,0.253,0.4397,0.921,101.5,81.8,112.3,39.1,41.6,69.6,61.5,38.3,32.1,0.0
169.0,60.9,21.3147,0.2496,0.1725,0.288,0.4734,0.345,1.4469,0.6084,0.2757,0.1544,0.0669,0.1898,0.2604,0.448,0.9396,89.7,76.1,91.5,42.2,46.6,75.7,51.9,35.5,30.1,1.0
180.0,86.5,26.7002,0.2585,0.1881,0.2891,0.4677,0.3467,1.3741,0.6181,0.276,0.1727,0.0725,0.1907,0.2573,0.4421,0.952,103.2,90.7,106.3,46.5,49.7,79.6,59.1,41.0,34.5,1.0
164.8,70.4,25.937,0.2558,0.186,0.2911,0.4686,0.3536,1.375,0.6212,0.2704,0.1636,0.0717,0.1945,0.2577,0.4374,0.9631,93.6,78.5,96.2,42.1,44.5,72.1,53.4,37.1,31.6,1.0
170.3,59.7,20.5654,0.2538,0.1711,0.2876,0.4615,0.3499,1.4834,0.6231,0.2712,0.1514,0.0669,0.1925,0.2538,0.4398,0.9536,88.4,75.9,91.5,43.2,46.2,74.9,51.5,35.8,29.0,1.0
179.7,80.7,24.9922,0.2547,0.1801,0.2928,0.4617,0.346,1.4143,0.6342,0.2757,0.1703,0.0713,0.1903,0.2539,0.4437,0.9467,100.8,86.5,101.6,45.8,49.5,79.7,58.0,40.2,33.8,1.0
159.2,62.1,24.5204,0.2381,0.1968,0.2855,0.4591,0.3354,1.2094,0.6219,0.2665,0.1626,0.068,0.1844,0.2525,0.4423,0.9088,89.2,70.3,98.4,37.9,42.4,70.4,54.1,34.0,28.0,0.0
163.4,71.3,26.6906,0.2418,0.2012,0.2818,0.4556,0.3361,1.2019,0.6185,0.2615,0.1694,0.0695,0.1848,0.2506,0.436,0.914,96.3,76.7,103.2,39.5,42.7,71.3,57.6,35.7,29.6,0.0
153.7,56.4,23.8663,0.2378,0.1953,0.2831,0.4599,0.3359,1.2172,0.6155,0.2646,0.1576,0.0672,0.1848,0.2529,0.4361,0.9096,86.8,68.8,94.2,36.5,40.7,67.0,52.5,32.4,26.8,0.0
164.6,72.9,26.9036,0.2574,0.189,0.2911,0.4672,0.3489,1.3617,0.623,0.2756,0.1671,0.0725,0.1919,0.257,0.4348,0.9551,96.9,81.0,97.7,42.4,45.4,71.6,54.1,37.5,32.0,1.0
159.8,52.2,20.4477,0.2338,0.1862,0.2797,0.463,0.3344,1.2559,0.6041,0.2629,0.1537,0.0632,0.1839,0.2546,0.436,0.9026,84.2,67.3,93.4,37.4,42.0,69.7,52.6,31.7,26.5,0.0
168.3,56.6,19.9862,0.2509,0.1723,0.2917,0.4616,0.35,1.4558,0.632,0.2757,0.1527,0.0661,0.1925,0.2539,0.4394,0.9509,86.6,76.1,91.1,42.2,46.4,74.0,50.5,35.0,28.2,1.0
175.3,64.7,21.0408,0.2524,0.1695,0.2908,0.4556,0.3497,1.4893,0.6383,0.2739,0.1532,0.0663,0.1923,0.2506,0.4448,0.9518,92.6,80.6,93.3,44.3,48.0,78.0,53.4,36.5,31.2,1.0
169.3,46.5,16.2223,0.2267,0.1707,0.2795,0.4615,0.344,1.3284,0.6057,0.2588,0.139,0.0585,0.1892,0.2538,0.4387,0.9147,80.8,67.4,90.7,38.4,43.8,74.3,51.6,31.1,25.5,0.0
177.1,82.7,26.3592,0.2422,0.1996,0.2852,0.4626,0.3401,1.2133,0.6164,0.2601,0.1658,0.0687,0.187,0.2544,0.4358,0.9223,101.5,83.0,111.0,42.9,46.1,77.2,62.4,38.2,31.9,0.0
177.4,80.8,25.6589,0.2543,0.1846,0.2906,0.4706,0.3454,1.3777,0.6174,0.272,0.1693,0.0719,0.19,0.2588,0.4442,0.9451,100.4,87.2,102.8,45.1,48.3,78.8,57.1,40.1,33.5,1.0
164.6,66.1,24.4156,0.2378,0.1956,0.2863,0.4568,0.3393,1.2159,0.6267,0.2621,0.1564,0.0674,0.1866,0.2512,0.4475,0.9165,93.4,75.7,101.0,39.1,43.1,73.6,56.7,34.8,28.7,0.0
161.2,64.9,24.9608,0.2392,0.1955,0.2836,0.4607,0.3379,1.2236,0.6157,0.2604,0.1594,0.0686,0.1859,0.2534,0.439,0.915,91.7,72.5,99.0,38.6,42.0,70.8,55.3,34.7,28.2,0.0
167.1,51.2,18.3414,0.2469,0.1654,0.2923,0.4645,0.3531,1.4927,0.6292,0.2731,0.1428,0.0632,0.1942,0.2555,0.4354,0.9531,86.1,72.6,86.8,41.3,45.6,72.7,48.5,33.1,28.1,1.0
167.2,78.8,28.1899,0.2579,0.1932,0.2909,0.4642,0.3493,1.3348,0.6266,0.2734,0.1764,0.0743,0.1921,0.2553,0.4425,0.9565,98.2,84.9,101.4,43.1,45.7,74.0,56.1,39.0,33.6,1.0
166.2,65.9,23.8484,0.2536,0.1801,0.2918,0.4609,0.3507,1.4082,0.6332,0.2746,0.1638,0.0698,0.1929,0.2535,0.4332,0.955,90.9,79.8,94.0,42.1,45.6,72.0,53.5,36.4,30.1,1.0
172.8,79.6,26.6578,0.2592,0.1912,0.2892,0.4661,0.35,1.3559,0.6204,0.2729,0.1749,0.0716,0.1925,0.2564,0.4411,0.9593,100.7,84.4,103.7,44.8,47.2,76.2,56.7,38.8,33.0,1.0
154.6,70.7,29.5819,0.244,0.2134,0.2784,0.4646,0.3419,1.1436,0.5992,0.2657,0.173,0.072,0.188,0.2556,0.4441,0.9278,94.2,74.2,103.6,37.7,41.1,68.6,56.1,34.9,28.8,0.0
156.0,44.6,18.3098,0.2377,0.181,0.2808,0.4649,0.3391,1.3134,0.6039,0.2606,0.139,0.061,0.1865,0.2557,0.4409,0.9159,79.9,61.4,88.7,37.1,40.7,68.8,49.3,29.9,24.9,0.0
179.1,80.1,24.9938,0.2546,0.184,0.2892,0.4641,0.3533,1.3835,0.6231,0.272,0.1697,0.071,0.1943,0.2552,0.4456,0.9613,104.7,86.3,103.5,45.6,48.7,79.8,57.9,39.9,32.9,1.0
167.0,50.3,18.0125,0.2332,0.1747,0.281,0.4649,0.335,1.3348,0.6045,0.2622,0.1382,0.0609,0.1843,0.2557,0.437,0.9033,83.6,65.5,91.6,39.0,43.8,73.0,50.6,32.0,25.8,0.0
177.3,66.6,21.163,0.2517,0.1739,0.286,0.4617,0.3553,1.4471,0.6195,0.272,0.1533,0.0669,0.1954,0.254,0.438,0.9622,95.1,78.6,96.9,44.6,48.2,77.7,53.2,37.2,30.9,1.0
174.6,53.8,17.6363,0.2496,0.1643,0.2916,0.4673,0.3558,1.5189,0.6241,0.2732,0.1378,0.0635,0.1957,0.257,0.445,0.9613,87.5,74.1,90.1,43.6,47.7,77.7,49.9,34.8,28.9,1.0
180.8,92.5,28.311,0.2594,0.1935,0.2887,0.4656,0.3463,1.3407,0.6201,0.2692,0.1716,0.0729,0.1904,0.2561,0.4379,0.952,108.1,91.4,109.8,46.9,48.7,79.2,60.4,41.4,36.8,1.0
163.6,67.2,25.0987,0.2544,0.1837,0.2902,0.4645,0.3454,1.3849,0.6249,0.2744,0.1638,0.0706,0.19,0.2555,0.4393,0.9451,91.9,77.3,94.3,41.6,44.9,71.9,52.0,36.2,30.3,1.0
161.7,75.0,28.6823,0.2416,0.2053,0.2761,0.466,0.3339,1.1766,0.5924,0.2661,0.1657,0.0709,0.1836,0.2563,0.4364,0.9094,97.0,79.2,104.3,39.1,43.0,70.6,59.0,36.0,30.2,0.0
164.3,50.9,18.8415,0.2496,0.1681,0.2882,0.467,0.3457,1.4849,0.617,0.2757,0.1503,0.0658,0.1901,0.2569,0.4402,0.9409,85.6,72.6,86.7,41.0,45.3,72.3,47.1,33.9,27.2,1.0
161.9,65.4,24.9366,0.2398,0.195,0.2829,0.4638,0.338,1.2294,0.6099,0.2642,0.1621,0.0682,0.1859,0.2551,0.4402,0.9158,91.7,74.1,99.2,38.8,42.8,71.3,55.9,34.7,28.2,0.0
163.5,58.6,21.9114,0.238,0.1939,0.2798,0.4599,0.3333,1.2277,0.6085,0.267,0.1498,0.0652,0.1833,0.2529,0.4424,0.9046,89.7,68.7,99.6,38.9,43.7,72.4,53.6,33.5,27.6,0.0
154.7,53.8,22.4673,0.2368,0.1928,0.2837,0.4625,0.3406,1.2282,0.6134,0.2615,0.1573,0.0653,0.1873,0.2543,0.4338,0.918,83.8,67.2,93.7,36.6,40.5,67.1,51.2,31.7,26.3,0.0
159.9,63.8,24.9563,0.2429,0.1997,0.2789,0.4615,0.3362,1.2161,0.6042,0.2658,0.1598,0.0679,0.1849,0.2538,0.4433,0.9152,92.5,74.4,100.3,38.8,42.5,70.9,54.8,34.1,27.9,0.0
171.8,67.0,22.6993,0.2366,0.1911,0.2791,0.4676,0.3332,1.2382,0.5969,0.2633,0.1548,0.0649,0.1833,0.2572,0.4372,0.903,93.1,74.6,103.1,40.7,45.3,75.1,56.5,35.0,28.4,0.0
163.3,74.7,28.0008,0.2453,0.2045,0.2809,0.4654,0.3359,1.1993,0.6034,0.2607,0.1689,0.0705,0.1847,0.256,0.4383,0.9171,95.7,80.0,104.9,40.1,42.6,71.6,58.5,36.2,30.0,0.0
170.6,65.5,22.5173,0.2551,0.176,0.2888,0.4618,0.3516,1.4495,0.6254,0.2767,0.1644,0.0689,0.1934,0.254,0.446,0.9583,93.9,77.6,94.2,43.5,47.2,76.1,53.5,36.9,31.5,1.0
163.1,80.9,30.4209,0.2479,0.2148,0.278,0.4603,0.3366,1.1539,0.6039,0.2598,0.1781,0.0721,0.1851,0.2531,0.4407,0.921,99.9,82.0,110.0,40.4,42.4,71.9,60.9,36.9,31.2,0.0
